Date,Temp1,Humidity,Atmospheric_pressure,Wind_speed,Cloudiness
18/03/2000,30.4,69.0,1004.3,2.0,8.0
19/03/2000,24.6,95.0,1004.9,0.0,10.0
19/03/2000,24.2,98.0,1008.3,0.0,9.0
19/03/2000,26.0,83.0,1004.2,2.0,10.0
20/03/2000,25.6,89.0,1003.8,0.0,8.0
20/03/2000,26.6,84.0,1005.6,2.0,4.0
20/03/2000,30.8,65.0,1003.1,2.0,5.0
21/03/2000,25.6,83.0,1003.3,0.0,8.0
21/03/2000,25.2,95.0,1006.1,0.0,6.0
21/03/2000,32.4,64.0,1002.7,1.0,4.0
22/03/2000,27.8,78.0,1003.0,0.0,6.0
22/03/2000,23.8,95.0,1008.3,2.0,10.0
22/03/2000,28.2,80.0,1005.6,0.0,10.0
23/03/2000,26.0,89.0,1003.7,0.0,5.0
23/03/2000,24.4,94.0,1005.6,0.0,10.0
23/03/2000,29.6,69.0,1003.3,2.0,8.0
24/03/2000,27.8,80.0,1003.6,0.0,0.0
24/03/2000,26.0,94.0,1006.0,0.0,10.0
24/03/2000,27.0,85.0,1004.5,1.0,10.0
25/03/2000,24.8,97.0,1006.1,0.0,10.0
25/03/2000,25.0,98.0,1008.1,0.0,10.0
25/03/2000,32.0,68.0,1004.5,2.0,6.0
26/03/2000,27.4,85.0,1004.4,0.0,4.0
26/03/2000,25.4,88.0,1006.8,0.0,6.0
26/03/2000,32.2,56.0,1003.1,1.0,8.0
27/03/2000,25.4,91.0,1004.8,0.0,10.0
27/03/2000,24.0,95.0,1007.0,0.0,10.0
27/03/2000,25.4,86.0,1007.2,2.0,10.0
28/03/2000,23.8,95.0,1005.5,0.0,6.0
28/03/2000,23.4,98.0,1010.1,0.0,10.0
28/03/2000,28.2,73.0,1006.0,2.0,10.0
29/03/2000,25.6,85.0,1006.1,0.0,8.0
29/03/2000,25.4,86.0,1007.1,0.0,2.0
29/03/2000,29.6,69.0,1005.1,0.0,8.0
30/03/2000,25.2,92.0,1005.3,0.0,2.0
30/03/2000,26.0,86.0,1006.5,0.0,6.0
30/03/2000,28.8,72.0,1003.8,1.0,8.0
31/03/2000,24.6,94.0,1007.3,0.0,10.0
31/03/2000,25.4,94.0,1008.1,0.0,10.0
31/03/2000,32.2,61.0,1003.7,2.0,5.0
01/04/2000,24.0,95.0,1005.3,0.0,10.0
01/04/2000,24.4,94.0,1008.2,0.0,10.0
01/04/2000,27.2,81.0,1006.1,2.0,10.0
02/04/2000,25.4,89.0,1005.7,0.0,8.0
02/04/2000,24.6,95.0,995.6,0.0,10.0
02/04/2000,24.6,94.0,1008.5,1.0,10.0
03/04/2000,23.8,92.0,1005.8,0.0,4.0
03/04/2000,26.0,89.0,1009.1,0.0,8.0
03/04/2000,30.2,67.0,1006.8,0.0,9.0
04/04/2000,27.0,87.0,1004.8,0.0,4.0
04/04/2000,24.0,95.0,1008.4,0.0,10.0
04/04/2000,28.4,76.0,1005.8,0.0,10.0
05/04/2000,25.4,91.0,1006.4,0.0,2.0
05/04/2000,24.8,92.0,1009.1,0.0,10.0
05/04/2000,28.2,80.0,1008.2,1.0,8.0
06/04/2000,25.8,88.0,1006.3,0.0,4.0
06/04/2000,25.0,95.0,1008.9,0.0,9.0
06/04/2000,30.6,67.0,1006.6,2.0,9.0
07/04/2000,25.6,88.0,1005.0,0.0,6.0
07/04/2000,27.0,82.0,1007.4,0.0,2.0
07/04/2000,32.6,60.0,1003.4,2.0,5.0
08/04/2000,26.0,88.0,1005.0,0.0,4.0
08/04/2000,25.4,94.0,1008.5,0.0,10.0
08/04/2000,31.0,70.0,1004.2,1.0,6.0
09/04/2000,25.6,88.0,1005.4,0.0,6.0
09/04/2000,24.0,95.0,1007.7,0.0,9.0
09/04/2000,32.6,63.0,1005.0,2.0,8.0
10/04/2000,26.2,88.0,1004.6,0.0,8.0
10/04/2000,25.8,86.0,1006.8,2.0,10.0
10/04/2000,30.4,71.0,1003.3,2.0,5.0
11/04/2000,26.4,88.0,1004.1,0.0,10.0
11/04/2000,24.0,93.0,1007.5,1.0,10.0
11/04/2000,24.6,92.0,1004.9,0.0,10.0
12/04/2000,23.8,95.0,1006.3,0.0,6.0
12/04/2000,26.0,92.0,1008.3,0.0,8.0
12/04/2000,30.8,65.0,1005.6,2.0,6.0
13/04/2000,25.2,91.0,1005.1,0.0,6.0
13/04/2000,23.4,97.0,1009.0,0.0,10.0
13/04/2000,24.8,87.0,1008.6,0.0,10.0
14/04/2000,24.4,92.0,1006.2,2.0,8.0
14/04/2000,24.8,89.0,1010.1,0.0,8.0
14/04/2000,31.4,66.0,1005.8,1.0,6.0
15/04/2000,26.6,86.0,1006.2,0.0,4.0
15/04/2000,22.4,97.0,1010.5,0.0,10.0
15/04/2000,30.0,70.0,1005.9,2.0,8.0
16/04/2000,27.2,84.0,1006.5,0.0,8.0
16/04/2000,24.4,92.0,1009.6,3.0,10.0
16/04/2000,27.6,81.0,1006.9,2.0,10.0
17/04/2000,24.4,92.0,1007.2,0.0,10.0
17/04/2000,25.6,83.0,1007.8,0.0,6.0
17/04/2000,30.2,67.0,1004.5,1.0,6.0
18/04/2000,26.4,85.0,1004.8,0.0,6.0
18/04/2000,25.0,95.0,1008.0,0.0,8.0
18/04/2000,32.2,57.0,1004.3,2.0,6.0
19/04/2000,25.0,95.0,1006.6,0.0,8.0
19/04/2000,24.5,96.0,1008.5,1.0,10.0
19/04/2000,22.8,97.0,1007.6,0.0,10.0
20/04/2000,23.4,97.0,1006.9,0.0,10.0
20/04/2000,23.6,97.0,1010.1,0.0,10.0
20/04/2000,31.0,67.0,1005.9,1.0,4.0
21/04/2000,25.8,91.0,1005.2,0.0,0.0
21/04/2000,27.0,87.0,1006.9,0.0,6.0
21/04/2000,32.2,62.0,1004.9,1.0,6.0
22/04/2000,25.2,91.0,1007.1,0.0,8.0
22/04/2000,25.4,92.0,1007.5,0.0,10.0
22/04/2000,28.6,75.0,1005.2,3.0,8.0
23/04/2000,25.8,89.0,1004.9,0.0,0.0
23/04/2000,25.4,94.0,1007.8,0.0,6.0
23/04/2000,22.4,97.0,1006.7,0.0,10.0
24/04/2000,23.2,93.0,1006.4,0.0,4.0
24/04/2000,24.2,98.0,1010.1,0.0,8.0
24/04/2000,31.6,61.0,1006.9,2.0,6.0
25/04/2000,27.2,84.0,1006.4,0.0,0.0
25/04/2000,23.0,95.0,1009.0,0.0,10.0
25/04/2000,28.8,77.0,1004.6,0.0,8.0
26/04/2000,27.0,89.0,1005.7,0.0,6.0
26/04/2000,22.8,97.0,1009.3,0.0,10.0
26/04/2000,24.2,97.0,1008.3,0.0,10.0
